doc_id	word_id	word	pos	mention_ids	entity_ids
0910	0	The	DT	0	0910:8
0910	1	Canadian	JJ	0	0910:8
0910	2	government	NN	0	0910:8
0910	3	,	,		
0910	4	with	IN		
0910	5	a	DT		
0910	6	view	NN		
0910	7	to	IN		
0910	8	becoming	VBG		
0910	9	more	RBR		
0910	10	politically	RB		
0910	11	active	JJ		
0910	12	in	IN		
0910	13	Latin	NNP	1	0910:3
0910	14	America	NNP	1	0910:3
0910	15	,	,		
0910	16	is	VBZ		
0910	17	expected	VBN		
0910	18	to	TO		
0910	19	announce	VB		
0910	20	tomorrow	NN		
0910	21	its	PRP$	2 3	0910:7 0910:8
0910	22	application	NN	2	0910:7
0910	23	to	TO	2	0910:7
0910	24	join	VB	2	0910:7
0910	25	the	DT	2 4	0910:7 0910:9
0910	26	Organization	NNP	2 4	0910:7 0910:9
0910	27	of	IN	2 4	0910:7 0910:9
0910	28	American	NNP	2 4	0910:7 0910:9
0910	29	States	NNPS	2 4	0910:7 0910:9
0910	30	,	,	2 4	0910:7 0910:9
0910	31	a	DT	2 4	0910:7 0910:9
0910	32	Washington	NNP	2 4 5	0910:7 0910:9 0910:2
0910	33	-	HYPH	2 4 5	0910:7 0910:9 0910:2
0910	34	based	VBN	2 4 5	0910:7 0910:9 0910:2
0910	35	regional	JJ	2 4	0910:7 0910:9
0910	36	agency	NN	2 4	0910:7 0910:9
0910	37	.	.		
0910	0	The	DT	6	0910:7
0910	1	expected	VBN	6	0910:7
0910	2	Canadian	JJ	6	0910:7
0910	3	move	NN	6	0910:7
0910	4	has	VBZ		
0910	5	been	VBN		
0910	6	welcomed	VBN		
0910	7	by	IN		
0910	8	the	DT		
0910	9	Bush	NNP		
0910	10	administration	NN		
0910	11	even	RB		
0910	12	though	IN		
0910	13	Canada	NNP	7	0910:8
0910	14	has	VBZ		
0910	15	opposed	VBN		
0910	16	such	JJ		
0910	17	U.S.	NNP		
0910	18	actions	NNS		
0910	19	as	IN		
0910	20	the	DT		
0910	21	trade	NN		
0910	22	embargo	NN		
0910	23	against	IN		
0910	24	Cuba	NNP	8	0910:0
0910	25	,	,		
0910	26	the	DT		
0910	27	invasion	NN		
0910	28	of	IN		
0910	29	Grenada	NNP		
0910	30	and	CC		
0910	31	the	DT		
0910	32	military	JJ		
0910	33	support	NN		
0910	34	for	IN		
0910	35	Nicaragua	NNP		
0910	36	's	POS		
0910	37	Contra	NNP		
0910	38	guerrillas	NNS		
0910	39	.	.		
0910	0	Latin	JJ		
0910	1	American	JJ		
0910	2	countries	NNS		
0910	3	have	VBP		
0910	4	long	RB		
0910	5	urged	VBN		
0910	6	Canada	NNP	9	0910:8
0910	7	to	TO		
0910	8	join	VB		
0910	9	the	DT	10	0910:9
0910	10	OAS	NNP	10	0910:9
0910	11	in	IN		
0910	12	the	DT		
0910	13	hopes	NNS		
0910	14	that	IN		
0910	15	it	PRP	11	0910:8
0910	16	would	MD		
0910	17	be	VB		
0910	18	a	DT		
0910	19	counterweight	NN		
0910	20	to	IN		
0910	21	the	DT	12	0910:5
0910	22	U.S.	NNP	12	0910:5
0910	23	,	,	12	0910:5
0910	24	which	WDT	12	0910:5
0910	25	for	IN	12	0910:5
0910	26	many	JJ	12	0910:5
0910	27	years	NNS	12	0910:5
0910	28	tended	VBD	12	0910:5
0910	29	to	TO	12	0910:5
0910	30	dominate	VB	12	0910:5
0910	31	the	DT	12 13	0910:5 0910:9
0910	32	32	CD	12 13	0910:5 0910:9
0910	33	-	HYPH	12 13	0910:5 0910:9
0910	34	nation	NN	12 13	0910:5 0910:9
0910	35	organization	NN	12 13	0910:5 0910:9
0910	36	.	.		
0910	0	Even	RB		
0910	1	though	IN		
0910	2	the	DT	14	0910:5
0910	3	U.S.	NNP	14	0910:5
0910	4	also	RB		
0910	5	has	VBZ		
0910	6	supported	VBN		
0910	7	Canadian	JJ	15	0910:6
0910	8	membership	NN	15	0910:6
0910	9	,	,		
0910	10	it	PRP	16	0910:6
0910	11	has	VBZ		
0910	12	n't	RB		
0910	13	been	VBN		
0910	14	a	DT		
0910	15	Washington	NNP	17	0910:5
0910	16	priority	NN		
0910	17	.	.		
0910	0	``	``		
0910	1	The	DT		
0910	2	fact	NN		
0910	3	that	IN		
0910	4	we	PRP	18	0910:8
0910	5	might	MD		
0910	6	not	RB		
0910	7	side	VB		
0910	8	with	IN		
0910	9	the	DT		
0910	10	Americans	NNPS		
0910	11	may	MD		
0910	12	be	VB		
0910	13	a	DT		
0910	14	reason	NN		
0910	15	why	WRB		
0910	16	Canada	NNP	19	0910:8
0910	17	's	POS	19	0910:8
0910	18	membership	NN		
0910	19	in	IN		
0910	20	the	DT	20	0910:9
0910	21	OAS	NNP	20	0910:9
0910	22	has	VBZ		
0910	23	n't	RB		
0910	24	been	VBN		
0910	25	,	,		
0910	26	over	IN		
0910	27	the	DT		
0910	28	years	NNS		
0910	29	,	,		
0910	30	an	DT		
0910	31	item	NN		
0910	32	high	JJ		
0910	33	on	IN		
0910	34	the	DT		
0910	35	U.S.	NNP		
0910	36	agenda	NN		
0910	37	,	,		
0910	38	''	''		
0910	39	said	VBD		
0910	40	Allan	NNP		
0910	41	Gotlieb	NNP		
0910	42	,	,		
0910	43	former	JJ		
0910	44	Canadian	JJ		
0910	45	ambassador	NN		
0910	46	to	IN		
0910	47	the	DT	21	0910:5
0910	48	U.S.	NNP	21	0910:5
0910	49	.	.		
0910	0	The	DT	22	0910:7
0910	1	Canadian	JJ	22	0910:7
0910	2	application	NN	22	0910:7
0910	3	is	VBZ		
0910	4	expected	VBN		
0910	5	to	TO		
0910	6	be	VB		
0910	7	announced	VBN		
0910	8	in	IN		
0910	9	San	NNP		
0910	10	Jose	NNP		
0910	11	,	,		
0910	12	Costa	NNP		
0910	13	Rica	NNP		
0910	14	,	,		
0910	15	by	IN		
0910	16	Canadian	JJ	23	0910:11
0910	17	Prime	NNP	23	0910:11
0910	18	Minister	NNP	23	0910:11
0910	19	Brian	NNP	23	0910:11
0910	20	Mulroney	NNP	23	0910:11
0910	21	,	,	23	0910:11
0910	22	who	WP	23	0910:11
0910	23	is	VBZ	23	0910:11
0910	24	attending	VBG	23	0910:11
0910	25	a	DT	23	0910:11
0910	26	centenary	JJ	23	0910:11
0910	27	celebration	NN	23	0910:11
0910	28	of	IN	23	0910:11
0910	29	Costa	JJ	23	0910:11
0910	30	Rican	JJ	23	0910:11
0910	31	democracy	NN	23	0910:11
0910	32	.	.		
0910	0	``	``		
0910	1	Canada	NNP	24	0910:8
0910	2	has	VBZ		
0910	3	a	DT		
0910	4	larger	JJR		
0910	5	and	CC		
0910	6	more	RBR		
0910	7	beneficial	JJ		
0910	8	role	NN		
0910	9	to	TO		
0910	10	play	VB		
0910	11	in	IN		
0910	12	the	DT		
0910	13	hemisphere	NN		
0910	14	,	,		
0910	15	''	''		
0910	16	Mr.	NNP	25	0910:11
0910	17	Mulroney	NNP	25	0910:11
0910	18	said	VBD		
0910	19	recently	RB		
0910	20	.	.		
0910	0	Some	DT	26	0910:1
0910	1	Canadian	JJ	26	0910:1
0910	2	political	JJ	26	0910:1
0910	3	commentators	NNS	26	0910:1
0910	4	have	VBP		
0910	5	opposed	VBN		
0910	6	Canada	NNP	27	0910:8
0910	7	's	POS	27	0910:8
0910	8	joining	VBG		
0910	9	what	WP		
0910	10	they	PRP	28	0910:1
0910	11	see	VBP		
0910	12	as	IN		
0910	13	a	DT	29	0910:9
0910	14	U.S.	NNP	29	0910:9
0910	15	-	HYPH	29	0910:9
0910	16	dominated	VBN	29	0910:9
0910	17	organization	NN	29	0910:9
0910	18	.	.		
0910	0	``	``		
0910	1	Canada	NNP	30	0910:8
0910	2	could	MD		
0910	3	do	VB		
0910	4	plenty	JJ		
0910	5	of	IN		
0910	6	things	NNS		
0910	7	to	TO		
0910	8	get	VB		
0910	9	serious	JJ		
0910	10	about	IN		
0910	11	Latin	NNP	31	0910:3
0910	12	America	NNP	31	0910:3
0910	13	without	IN		
0910	14	running	VBG		
0910	15	the	DT		
0910	16	risk	NN		
0910	17	of	IN		
0910	18	getting	VBG		
0910	19	caught	VBN		
0910	20	in	IN		
0910	21	the	DT		
0910	22	cross	NN		
0910	23	fire	NN		
0910	24	''	''		
0910	25	between	IN		
0910	26	the	DT	32	0910:5
0910	27	U.S.	NNP	32	0910:5
0910	28	and	CC		
0910	29	Latin	JJ		
0910	30	American	JJ		
0910	31	members	NNS		
0910	32	of	IN		
0910	33	the	DT	33	0910:9
0910	34	OAS	NNP	33	0910:9
0910	35	,	,		
0910	36	said	VBD		
0910	37	Jeffrey	NNP		
0910	38	Simpson	NNP		
0910	39	,	,		
0910	40	a	DT		
0910	41	columnist	NN		
0910	42	in	IN		
0910	43	Toronto	NNP		
0910	44	's	POS		
0910	45	Globe	NNP		
0910	46	&	CC		
0910	47	Mail	NNP		
0910	48	newspaper	NN		
0910	49	.	.		
0910	0	Canada	NNP	34	0910:8
0910	1	,	,		
0910	2	at	IN		
0910	3	times	NNS		
0910	4	,	,		
0910	5	could	MD		
0910	6	be	VB		
0910	7	an	DT		
0910	8	awkward	JJ		
0910	9	OAS	NNP		
0910	10	partner	NN		
0910	11	for	IN		
0910	12	the	DT	35	0910:5
0910	13	U.S.	NNP	35	0910:5
0910	14	if	IN		
0910	15	its	PRP$	36	0910:8
0910	16	United	NNP	37	0910:10
0910	17	Nations	NNP	37	0910:10
0910	18	voting	NN		
0910	19	record	NN		
0910	20	is	VBZ		
0910	21	an	DT		
0910	22	indication	NN		
0910	23	.	.		
0910	0	In	IN		
0910	1	U.N.	NNP	38	0910:10
0910	2	General	NNP		
0910	3	Assembly	NNP		
0910	4	votes	NNS		
0910	5	last	JJ		
0910	6	year	NN		
0910	7	,	,		
0910	8	Canada	NNP	39	0910:8
0910	9	voted	VBD		
0910	10	the	DT		
0910	11	same	JJ		
0910	12	as	IN		
0910	13	the	DT	40	0910:5
0910	14	U.S.	NNP	40	0910:5
0910	15	only	RB		
0910	16	63	CD		
0910	17	%	NN		
0910	18	of	IN		
0910	19	the	DT		
0910	20	time	NN		
0910	21	.	.		
0910	0	France	NNP		
0910	1	voted	VBD		
0910	2	the	DT		
0910	3	same	JJ		
0910	4	as	IN		
0910	5	the	DT	41	0910:5
0910	6	U.S.	NNP	41	0910:5
0910	7	76	CD		
0910	8	%	NN		
0910	9	of	IN		
0910	10	the	DT		
0910	11	time	NN		
0910	12	,	,		
0910	13	West	NNP		
0910	14	Germany	NNP		
0910	15	79	CD		
0910	16	%	NN		
0910	17	and	CC		
0910	18	Britain	NNP		
0910	19	83	CD		
0910	20	%	NN		
0910	21	.	.		
0910	0	Larry	NNP	42	0910:12
0910	1	Birns	NNP	42	0910:12
0910	2	,	,	42	0910:12
0910	3	director	NN	42	0910:12
0910	4	of	IN	42	0910:12
0910	5	the	DT	42	0910:12
0910	6	Washington	NNP	42 43	0910:12 0910:2
0910	7	-	HYPH	42 43	0910:12 0910:2
0910	8	based	VBN	42 43	0910:12 0910:2
0910	9	Council	NNP	42	0910:12
0910	10	on	IN	42	0910:12
0910	11	Hemispheric	NNP	42	0910:12
0910	12	Affairs	NNPS	42	0910:12
0910	13	,	,	42	0910:12
0910	14	a	DT	42	0910:12
0910	15	liberal	JJ	42	0910:12
0910	16	research	NN	42	0910:12
0910	17	group	NN	42	0910:12
0910	18	,	,	42	0910:12
0910	19	said	VBD		
0910	20	that	IN		
0910	21	Latin	JJ		
0910	22	American	JJ		
0910	23	countries	NNS		
0910	24	would	MD		
0910	25	be	VB		
0910	26	``	``		
0910	27	profoundly	RB		
0910	28	disappointed	VBN		
0910	29	''	''		
0910	30	if	IN		
0910	31	Canada	NNP	44	0910:8
0910	32	were	VBD		
0910	33	to	TO		
0910	34	follow	VB		
0910	35	the	DT		
0910	36	U.S.	NNP		
0910	37	lead	NN		
0910	38	in	IN		
0910	39	the	DT	45	0910:9
